date,model,realised_r,VaR_95,ES_95,VaR_99,ES_99
2012-01-16,GARCH,0.0016221735655008729,0.01992791946834535,0.025484134526806257,0.029119201406363298,0.03350356519335276
2012-01-16,Heston,0.0016221735655008729,0.015718459585426628,0.019967447047965967,0.023196621953574623,0.026181819203486664
2012-01-16,Merton,0.0016221735655008729,0.01945775919718799,0.02425686400187523,0.0272151476498665,0.031138899484350405
2012-01-16,HistSim,0.0016221735655008729,0.019963750348194153,0.024864968895734876,0.026513248118467746,0.03264651668893812
2012-01-17,GARCH,0.018981975685770536,0.01923211577956031,0.02458661141199272,0.02865595806949225,0.032417848585180084
2012-01-17,Heston,0.018981975685770536,0.01602778679258076,0.020051199606274307,0.022569796580571694,0.025824446320455136
2012-01-17,Merton,0.018981975685770536,0.019426063043801362,0.02401691881534486,0.027004983120785628,0.030821271425617473
2012-01-17,HistSim,0.018981975685770536,0.019963750348194153,0.024864968895734876,0.026513248118467746,0.03264651668893812
2012-01-18,GARCH,-0.0023178251959894425,0.020601751620251654,0.025932886798419198,0.029270098650905445,0.033582601126876346
2012-01-18,Heston,-0.0023178251959894425,0.016017843923062762,0.019905042893279892,0.02261426658650119,0.025601679970219976
2012-01-18,Merton,-0.0023178251959894425,0.018901768383497875,0.024079120233714044,0.027394001976762453,0.03184220147458449
2012-01-18,HistSim,-0.0023178251959894425,0.019963750348194153,0.024864968895734876,0.026513248118467746,0.03264651668893812
2012-01-19,GARCH,0.012552569924144663,0.019834758658726012,0.024791982829041083,0.028246971698333942,0.0320567272436402
2012-01-19,Heston,0.012552569924144663,0.01569254083575473,0.020032320800501893,0.02272057010158005,0.026524068064028305
2012-01-19,Merton,0.012552569924144663,0.019237750347837188,0.024052599412950584,0.02714414505168341,0.030986767272194373
2012-01-19,HistSim,0.012552569924144663,0.019963750348194153,0.024864968895734876,0.026513248118467746,0.03264651668893812
2012-01-20,GARCH,0.005999858132263114,0.019224075049873668,0.024712721370927,0.02811262868334679,0.032923023511726456
2012-01-20,Heston,0.005999858132263114,0.01605631151291247,0.02018350174367442,0.02274271434996017,0.026081196031925158
2012-01-20,Merton,0.005999858132263114,0.01949071217496005,0.02423234696487446,0.027470045735714384,0.031134490640903838
2012-01-20,HistSim,0.005999858132263114,0.019963750348194153,0.024864968895734876,0.026513248118467746,0.03264651668893812
2012-01-23,GARCH,-0.0004656032880063776,0.018988532716485183,0.024023155372660674,0.027145054061395803,0.031217557283556397
2012-01-23,Heston,-0.0004656032880063776,0.01631263247868334,0.02032318107784709,0.02312998207168698,0.026254020502040166
